,movie,original_title
13374,1,10 Things I Hate About You
18479,2,12 Angry Men
11218,3,1408
6775,4,15 Minutes
6653,5,16 Blocks
15304,6,"20,000 Leagues Under the Sea"
14180,7,2001: A Space Odyssey
13778,8,2046
12078,9,21 Grams
15542,10,25th Hour
14496,11,28 Days Later
12851,12,28 Weeks Later
4354,13,300
18135,14,"4 luni, 3 săptămîni și 2 zile"
12352,15,40 Days and 40 Nights
18357,16,42nd Street
1709,17,4: Rise of the Silver Surfer
13844,18,5 Days of War
3325,19,50 First Dates
13505,20,54
6811,21,8 Mile
14546,22,8 femmes
9240,23,88 Minutes
3187,24,A Beautiful Mind
9975,25,A Bridge Too Far
16079,26,A Christmas Story
12142,27,A Dangerous Method
8751,28,A Few Good Men
18339,29,A Hard Day's Night
8807,30,A History of Violence
13031,31,A Mighty Heart
8203,32,A Nightmare on Elm Street
12145,33,A Scanner Darkly
16912,34,A Streetcar Named Desire
7103,35,A Time to Kill
9108,36,A View to a Kill
9041,37,About Schmidt
9832,38,About a Boy
5576,39,Absolute Power
6618,40,Across the Universe
12245,41,Adaptation.
15972,42,Airplane!
727,43,Alexander
14347,44,Alien
12340,45,Aliens
7488,46,Aliens vs Predator: Requiem
8793,47,Alive
5193,48,All the King's Men
4600,49,Almost Famous
6758,50,Along Came Polly
9418,51,Along Came a Spider
4847,52,Alvin and the Chipmunks
12275,53,Amadeus
12564,54,American Beauty
18184,55,American Graffiti
14272,56,American History X
13671,57,American Pie
8923,58,American Pie 2
14536,59,American Psycho
16813,60,American Splendor
4903,61,American Wedding
16821,62,Amores perros
9285,63,An Unfinished Life
10564,64,Anchorman: The Legend of Ron Burgundy
15838,65,Annie Hall
4496,66,Antz
8809,67,Apocalypse Now
4098,68,Apollo 13
11519,69,Arlington Road
969,70,Armageddon
14044,71,Army of Darkness
5325,72,As Good as It Gets
1927,73,Astérix aux Jeux Olympiques
9127,74,Atonement
4193,75,Austin Powers in Goldmember
12272,76,Austin Powers: International Man of Mystery
11769,77,Babel
12219,78,Back to the Future
6951,79,Back to the Future Part II
7118,80,Back to the Future Part III
1364,81,Bad Boys II
8714,82,Bandidas
14018,83,Barry Lyndon
4069,84,Basic Instinct 2
16379,85,Basquiat
17460,86,Batman
1587,87,Batman & Robin
775,88,Batman Begins
2268,89,Batman Forever
2943,90,Batman Returns
13718,91,Beavis and Butt-Head Do America
7769,92,Because I Said So
12382,93,Becoming Jane
5986,94,Bedazzled
12611,95,Beetlejuice
16583,96,Before Sunrise
16815,97,Before Sunset
13465,98,Being John Malkovich
15198,99,Bend It Like Beckham
1197,100,Beowulf
11614,101,Beverly Hills Cop II
5812,102,Beverly Hills Cop III
12255,103,Big
4031,104,Big Fish
11017,105,Big Trouble in Little China
11768,106,Bill & Ted's Bogus Journey
14235,107,Bill & Ted's Excellent Adventure
15368,108,Billy Elliot
13508,109,Birthday Girl
9150,110,Black Rain
9641,111,Blade Runner
11023,112,Blindness
2225,113,Blood Diamond
9044,114,Blow
18049,115,Blue Like Jazz
8808,116,Bogus
11753,117,Boogeyman
12905,118,Boogie Nights
12256,119,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
16146,120,Bowling for Columbine
14985,121,Boyz n the Hood
13026,122,Brazil
7922,123,Breakdown
8788,124,Bridesmaids
10476,125,Bridge to Terabithia
18102,126,Brigham City
14211,127,Bring It On
13796,128,Brother
9988,129,Brothers
15457,130,C'era una volta il West
8055,131,Cape Fear
1281,132,Captain America: The First Avenger
4820,133,Captain Corelli's Mandolin
3527,134,Carriers
3800,135,Cars
314,136,Cars 2
18060,137,Casablanca
5290,138,Casino
4904,139,Casper
16162,140,Cat on a Hot Tin Roof
5273,141,Catch Me If You Can
13331,142,Catch a Fire
2277,143,Catwoman
5072,144,Changeling
6508,145,Changing Lanes
3432,146,Charlie Wilson's War
760,147,Charlie and the Chocolate Factory
2446,148,Charlie's Angels
18485,149,Chasing Amy
8747,150,Chill Factor
10329,151,Chocolat
2614,152,Cinderella Man
18569,153,Clerks
15366,154,Clerks II
11612,155,Close Encounters of the Third Kind
8614,156,Closer
14657,157,Code 46
3106,158,Cold Mountain
3077,159,Con Air
9410,160,Confessions of a Dangerous Mind
17037,161,Conquest of the Planet of the Apes
10687,162,Contraband
13280,163,Cool Runnings
12807,164,Cop Land
14090,165,Copying Beethoven
9152,166,Corpse Bride
13729,167,Crank
14305,168,Crash
4910,169,Crimson Tide
18521,170,Cube
2391,171,Cutthroat Island
16070,172,D.E.B.S.
12380,173,Damnation Alley
13566,174,Dancer in the Dark
12154,175,Dances with Wolves
13027,176,Dark Blue
13764,177,Das Boot
16809,178,Das Leben der Anderen
16267,179,Dave Chappelle's Block Party
9470,180,Dawn of the Dead
4501,181,Days of Thunder
16509,182,De jurk
13972,183,Dead Man Walking
12393,184,Dead Poets Society
15534,185,Dear Frankie
12111,186,Deconstructing Harry
4509,187,Deep Blue Sea
3066,188,Deep Impact
13332,189,Der Untergang
11328,190,Derailed
3677,191,Deux frères
14758,192,Diamonds Are Forever
18166,193,Die Büchse der Pandora
9438,194,Die Hard
3894,195,Die Hard 2
2462,196,Die Hard: With a Vengeance
4936,197,Disclosure
13965,198,Doctor Zhivago
18391,199,Dogtown and Z-Boys
10977,200,Don Juan DeMarco
15602,201,Donnie Darko
4061,202,Doom
16915,203,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
7172,204,Dracula
4789,205,DragonHeart
12293,206,Dragonslayer
3437,207,Dreamgirls
13370,208,"Dude, Where’s My Car?"
6616,209,Dune
5945,210,Eastern Promises
12303,211,Ed Wood
11743,212,Edward Scissorhands
16926,213,El Crimen del Padre Amaro
12417,214,El laberinto del fauno
15876,215,El orfanato
10936,216,Elizabeth
2810,217,Enchanted
7823,218,Enough
4075,219,Entrapment
12148,220,Equilibrium
2214,221,Eragon
15137,222,Escape from New York
16532,223,Escape from the Planet of the Apes
11779,224,Eternal Sunshine of the Spotless Mind
12140,225,Everybody's Fine
16035,226,Evil Dead II
4989,227,Executive Decision
4106,228,Eyes Wide Shut
3071,229,Face/Off
15048,230,Fahrenheit 9/11
5413,231,Failure to Launch
16198,232,Family Plot
16607,233,Fantasia
12249,234,Fear and Loathing in Las Vegas
17485,235,Festen
4156,236,Fight Club
1260,237,Final Fantasy: The Spirits Within
6678,238,Finding Forrester
2334,239,Finding Nemo
10558,240,Finding Neverland
5225,241,Flags of Our Fathers
8646,242,Flash Gordon
14768,243,Flashdance
14915,244,Flirting with Disaster
6666,245,Foodfight!
11177,246,Footloose
4841,247,Forrest Gump
15936,248,Four Rooms
10314,249,Freddy vs. Jason
11578,250,Freedom Writers
15976,251,Frenzy
14991,252,Friends with Money
12072,253,From Dusk Till Dawn
6490,254,Galaxy Quest
11283,255,Gandhi
16578,256,Garden State
5414,257,Garfield
7942,258,Gattaca
14957,259,Gerry
8910,260,Get Shorty
11220,261,Ghost
16849,262,Ghost Dog: The Way of the Samurai
1763,263,Ghost Rider
13741,264,Girl with a Pearl Earring
2125,265,Gladiator
15979,266,Gods and Monsters
4461,267,GoldenEye
13362,268,"Good Morning, Vietnam"
14183,269,Good Will Hunting
15036,270,"Good bye, Lenin!"
10565,271,GoodFellas
9378,272,Goodbye Bafana
12280,273,Gosford Park
7440,274,Gothika
15041,275,Grease
13873,276,Gremlins
5841,277,Gremlins 2: The New Batch
13153,278,Groundhog Day
3337,279,Hairspray
12351,280,Halloween
16942,281,Hang 'em High
5921,282,Hannibal Rising
18152,283,Hard Candy
11212,284,Harley Davidson and the Marlboro Man
15975,285,Harper
14757,286,Harry Brown
750,287,Harry Potter and the Goblet of Fire
2,288,Harry Potter and the Half-Blood Prince
1489,289,Harry Potter and the Philosopher's Stone
1448,290,Harry Potter and the Prisoner of Azkaban
15467,291,Heavenly Creatures
4545,292,Hellboy
3220,293,Hidalgo
11776,294,High Fidelity
18295,295,High Noon
12518,296,Highlander
10011,297,Highlander III: The Sorcerer
12338,298,Hitman
3845,299,Hook
7960,300,Horrible Bosses
3521,301,Hostage
15473,302,Hostel
12445,303,Hot Fuzz
12316,304,Hotel Rwanda
14927,305,House of 1000 Corpses
1599,306,How the Grinch Stole Christmas
1249,307,Hulk
11394,308,I Heart Huckabees
11194,309,I Still Know What You Did Last Summer
12146,310,I'm Not There.
2105,311,"I, Robot"
4095,312,Ice Age
3309,313,Ice Age: The Meltdown
9615,314,Identity
13050,315,Idle Hands
18045,316,"Il buono, il brutto, il cattivo"
14583,317,Imagine Me & You
7715,318,Impostor
9979,319,In Good Company
8549,320,In Time
17061,321,In the Bedroom
4717,322,In the Name of the King: A Dungeon Siege Tale
342,323,Indiana Jones and the Kingdom of the Crystal Skull
5968,324,Indiana Jones and the Last Crusade
9416,325,Indiana Jones and the Temple of Doom
5395,326,Inside Man
6443,327,Insomnia
3356,328,Inspector Gadget
5374,329,Interview with the Vampire
12070,330,Into the Wild
358,331,Iron Man
18481,332,It Happened One Night
7307,333,JFK
15257,334,Jackass: The Movie
13728,335,Jackie Brown
13034,336,Jakob the Liar
3573,337,Jarhead
11210,338,Jaws: The Revenge
11379,339,Jay and Silent Bob Strike Back
15461,340,Jekyll and Hyde ... Together Again
4296,341,Jurassic Park
2386,342,Jurassic Park III
7716,343,Just Visiting
2594,344,K-19: The Widowmaker
5984,345,K-PAX
9401,346,Keeping the Faith
18222,347,Kevin Hart: Laugh at My Pain
4973,348,Kill Bill: Vol. 1
4979,349,Kill Bill: Vol. 2
17289,350,Killing Zoe
9930,351,Kindergarten Cop
147,352,King Kong
2107,353,Kingdom of Heaven
13040,354,Kiss Kiss Bang Bang
10698,355,Kiss of the Dragon
9714,356,Knocked Up
8682,357,Krull
15180,358,L'Auberge espagnole
8065,359,L.A. Confidential
16071,360,La Marche de l'empereur
11964,361,Ladyhawke
2492,362,Lara Croft Tomb Raider: The Cradle of Life
2382,363,Lara Croft: Tomb Raider
13559,364,Lars and the Real Girl
12811,365,Lawrence of Arabia
15007,366,Layer Cake
7704,367,Le fabuleux destin d'Amélie Poulain
13310,368,Le scaphandre et le papillon
15844,369,Leaving Las Vegas
12259,370,Legally Blonde
15213,371,Les Choristes
7952,372,Lethal Weapon 3
1243,373,Lethal Weapon 4
13491,374,Letters from Iwo Jima
6448,375,Liar Liar
6770,376,Licence to Kill
8398,377,License to Wed
16612,378,Lies in Plain Sight
8711,379,Lion of the Desert
8687,380,Lions for Lambs
13326,381,Little Children
2101,382,Live Free or Die Hard
14792,383,Live and Let Die
17479,384,"Lock, Stock and Two Smoking Barrels"
16950,385,Lola rennt
5144,386,Lolita
15796,387,Lost in Translation
6546,388,Love Actually
14260,389,Love Jones
6662,390,Love in the Time of Cholera
9862,391,Lucky Number Slevin
5240,392,Lucky You
16798,393,Mad Max 2
3271,394,Madagascar
7901,395,Magnolia
4909,396,Maid in Manhattan
8286,397,Malcolm X
15238,398,Mambo Italiano
13267,399,Manderlay
13351,400,Mar adentro
7655,401,Marie Antoinette
15118,402,Mary Poppins
16135,403,"María, llena eres de gracia"
12874,404,Match Point
16516,405,Maurice
16825,406,Me and You and Everyone We Know
5314,407,"Me, Myself & Irene"
7637,408,Mean Streets
4864,409,Meet the Parents
15365,410,Memento
2823,411,Memoirs of a Geisha
7662,412,Memoirs of an Invisible Man
975,413,Men in Black II
4569,414,Mercury Rising
13125,415,Metropolis
11398,416,Michael Clayton
15971,417,Midnight Cowboy
8650,418,Midnight in the Garden of Good and Evil
8999,419,Million Dollar Baby
2152,420,Minority Report
2824,421,Mirror Mirror
6452,422,Miss Congeniality
2515,423,Mission to Mars
2835,424,Mission: Impossible
1681,425,Mission: Impossible II
874,426,Mission: Impossible III
17309,427,Modern Times
17793,428,Monsoon Wedding
15262,429,Monster
15840,430,Monster's Ball
1823,431,"Monsters, Inc."
18461,432,Monty Python and the Holy Grail
8909,433,Moonraker
5208,434,Moulin Rouge!
2014,435,Mr. & Mrs. Smith
10920,436,Mr. Bean's Holiday
5330,437,Mr. Deeds
8877,438,Mr. Holland's Opus
17260,439,Mr. Smith Goes to Washington
10059,440,Mrs. Doubtfire
14259,441,Mud
13051,442,Mulholland Drive
3462,443,Munich
6428,444,My Best Friend's Wedding
14306,445,My Blueberry Nights
16606,446,My Life Without Me
17371,447,My Name Is Bruce
16570,448,My Own Private Idaho
9207,449,My Super Ex-Girlfriend
8990,450,Mystic River
2196,451,National Treasure
1930,452,Night at the Museum
14992,453,Nirgendwo in Afrika
10326,454,No Country for Old Men
9632,455,No Reservations
9743,456,Notes on a Scandal
6739,457,Notting Hill
2789,458,Ocean's Eleven
1989,459,Ocean's Twelve
9707,460,Octopussy
14264,461,Office Space
4161,462,Oliver Twist
14522,463,On Her Majesty's Secret Service
18546,464,Once
9426,465,Once Upon a Time in Mexico
18104,466,Once in a Lifetime: The Extraordinary Story of the New York Cosmos
15646,467,One Flew Over the Cuckoo's Nest
9936,468,Open Range
2818,469,Open Season
18342,470,Open Water
18103,471,Orgazmo
10006,472,Original Sin
8908,473,Out of Africa
5995,474,Out of Sight
5861,475,Out of Time
5415,476,Outbreak
14972,477,Pale Rider
13517,478,"Paris, je t'aime"
15471,479,Party Monster
5408,480,Payback
18545,481,Per un pugno di dollari
4179,482,Perfume: The Story of a Murderer
14732,483,Persepolis
18566,484,Pi
18482,485,Pieces of April
18483,486,Pierrot le fou
18570,487,Pink Flamingos
0,488,Pirates of the Caribbean: At World's End
18,489,Pirates of the Caribbean: Dead Man's Chest
67,490,Pirates of the Caribbean: On Stranger Tides
1519,491,Pirates of the Caribbean: The Curse of the Black Pearl
11202,492,Pitch Black
2170,493,Planet of the Apes
16453,494,Pocketful of Miracles
8528,495,Poltergeist
8637,496,Predator 2
8657,497,Premium Rush
13278,498,Pretty Woman
12277,499,Prom Night
11897,500,Psycho
14413,501,Pulp Fiction
18476,502,Quinceañera
11604,503,Raiders of the Lost Ark
10147,504,Rain Man
4773,505,Rambo III
6668,506,Rambo: First Blood Part II
764,507,Ratatouille
17544,508,Rebecca
4148,509,Red Dawn
3179,510,Red Planet
16316,511,Red River
12025,512,Reign Over Me
7927,513,Reindeer Games
9827,514,Rendition
7535,515,Rent
17955,516,Reservoir Dogs
8775,517,Return of the Jedi
11196,518,Return to Me
6640,519,Revolutionary Road
16517,520,Riding Giants
18335,521,Rize
12360,522,Roar
5323,523,Robin Hood: Prince of Thieves
18064,524,Rocky
11096,525,Rocky Balboa
18565,526,Roger & Me
13177,527,Romeo + Juliet
14289,528,Romeo Is Bleeding
10368,529,Romeo Must Die
5049,530,Ronin
16096,531,Rosemary's Baby
14279,532,Run Fatboy Run
3815,533,Runaway Bride
17612,534,Saw
15251,535,Saw II
14193,536,Saw III
14226,537,Saw IV
10568,538,Scarface
6501,539,Scary Movie 2
10311,540,Schindler's List
11705,541,School of Rock
15861,542,Scoop
18352,543,Scott Walker: 30 Century Man
12179,544,Scream
11164,545,Scream 2
7115,546,Scream 3
2621,547,Seabiscuit
7417,548,Secret Window
12381,549,Sense and Sensibility
14309,550,Severance
5207,551,Shaft
9909,552,Shakespeare in Love
7309,553,Shall We Dance?
4984,554,Shanghai Noon
15456,555,Shaun of the Dead
18100,556,Shine a Light
14654,557,Shopgirl
16882,558,Shortbus
5322,559,Shrek
3743,560,Shrek 2
716,561,Shrek the Third
14375,562,Sicko
5728,563,Silent Hill
7306,564,Sin City
4174,565,Sin City: A Dame to Kill For
16523,566,Singin' in the Rain
4063,567,Sky Captain and the World of Tomorrow
8756,568,Snakes on a Plane
13861,569,Snatch
17459,570,Snow White and the Seven Dwarfs
16474,571,Some Like It Hot
3069,572,Something's Gotta Give
16423,573,Sommersturm
12378,574,Southland Tales
3146,575,Space Jam
11219,576,Spaceballs
3513,577,Spanglish
2098,578,Speed 2: Cruise Control
1781,579,Speed Racer
17278,580,Spellbound
10938,581,Spice World
302,582,Spider-Man 2
1,583,Spider-Man 3
2496,584,Spy Game
14424,585,Stand by Me
13711,586,Star Trek II: The Wrath of Khan
12262,587,Star Trek III: The Search for Spock
11064,588,Star Trek IV: The Voyage Home
9066,589,Star Trek V: The Final Frontier
9829,590,Star Trek VI: The Undiscovered Country
6445,591,Star Trek: First Contact
7820,592,Star Trek: Generations
3934,593,Star Trek: Insurrection
4568,594,Star Trek: Nemesis
8051,595,Star Trek: The Motion Picture
13951,596,Star Wars
1812,597,Star Wars: Episode II - Attack of the Clones
1784,598,Star Wars: Episode III - Revenge of the Sith
2269,599,Starship Troopers
12524,600,Steel
16905,601,Stitches
13285,602,Stomp the Yard
11022,603,Stop-Loss
9197,604,Stranger Than Fiction
11836,605,Street Kings
5056,606,Stuck on You
7743,607,Sunshine
12313,608,Superbad
4902,609,Superman
7611,610,Sweet November
14644,611,Swimming Pool
12147,612,"Synecdoche, New York"
5484,613,Syriana
18369,614,Så som i himmelen
8265,615,TMNT
9457,616,Taking Woodstock
18080,617,Taxi Driver
11773,618,Team America: World Police
10319,619,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
11571,620,Teenage Mutant Ninja Turtles III
2195,621,Terminator 2: Judgment Day
528,622,Terminator 3: Rise of the Machines
319,623,Terminator Salvation
1568,624,The 13th Warrior
9900,625,The 40 Year Old Virgin
9881,626,The 51st State
8969,627,The Addams Family
13499,628,The Astronaut Farmer
8750,629,The Astronaut's Wife
2015,630,The Aviator
11777,631,The Bank Job
5870,632,The Beach
17300,633,The Believer
18532,634,The Big Parade
15537,635,The Blue Lagoon
10306,636,The Bodyguard
12241,637,The Bounty
4444,638,The Bourne Identity
2707,639,The Bourne Supremacy
11230,640,The Bridges of Madison County
3178,641,The Brothers Grimm
13420,642,The Butterfly Effect
57,643,The Chronicles of Narnia: Prince Caspian
1778,644,The Chronicles of Riddick
10033,645,The Constant Gardener
14387,646,The Contender
17189,647,The Conversation
5989,648,The Cotton Club
10018,649,The Curse of the Jade Scorpion
9126,650,The Curse of the Were-Rabbit
351,651,The Dark Knight
1626,652,The Day After Tomorrow
2449,653,The Departed
8016,654,The Devil Wears Prada
2522,655,The Devil's Own
14916,656,The Devil's Rejects
15350,657,The Elephant Man
11199,658,The Empire Strikes Back
8056,659,The English Patient
18478,660,The Evil Dead
12270,661,The Exorcism of Emily Rose
4503,662,The Family Man
2324,663,The Fifth Element
8972,664,The First Wives Club
11184,665,The Fisher King
6451,666,The Flintstones
4722,667,The Flintstones in Viva Rock Vegas
4990,668,The Forbidden Kingdom
8723,669,The Fountain
11747,670,The French Connection
15851,671,The Front Page
6667,672,The Fugitive
5579,673,The Game
4463,674,The General's Daughter
11387,675,The Glass House
14760,676,The Godfather
13368,677,The Godfather: Part II
5170,678,The Godfather: Part III
116,679,The Golden Compass
9363,680,The Good Thief
15161,681,The Greatest
12098,682,The Greatest Story Ever Told
4382,683,The Green Mile
14229,684,The Grudge
11755,685,The Grudge 2
4535,686,The Happening
15966,687,The Helpers
15968,688,The History Boys
6607,689,The Hitchhiker's Guide to the Galaxy
2812,690,The Holiday
4506,691,The Horse Whisperer
10819,692,The Hours
8965,693,The Hunt for Red October
7761,694,The Hunting Party
16810,695,The Hustler
2490,696,The Interpreter
2116,697,The Island
6893,698,The Karate Kid
3531,699,The Kingdom
12073,700,The Kite Runner
16911,701,The Lady from Shanghai
8539,702,The Ladykillers
7431,703,The Lake House
4699,704,The Last Castle
10684,705,The Last Emperor
15159,706,The Last King of Scotland
1222,707,The Last Samurai
4584,708,The Legend of Bagger Vance
5940,709,The Life Aquatic with Steve Zissou
7381,710,The Living Daylights
2357,711,The Lord of the Rings: The Return of the King
2370,712,The Lord of the Rings: The Two Towers
3224,713,The Lost World: Jurassic Park
2331,714,The Lovely Bones
15468,715,The Machinist
12250,716,The Mask
4096,717,The Matrix
859,718,The Matrix Revolutions
7308,719,The Mexican
13455,720,The Mist
6759,721,The Mothman Prophecies
2291,722,The Mummy Returns
375,723,The Mummy: Tomb of the Dragon Emperor
8603,724,The Nativity Story
11291,725,The Net
11000,726,The Next Best Thing
8805,727,The Number 23
12339,728,The Others
7578,729,The Out-of-Towners
14250,730,The Outsiders
10038,731,The Passion of the Christ
1948,732,The Patriot
1702,733,The Perfect Storm
18133,734,The Pet
8578,735,The Pianist
6654,736,The Pledge
383,737,The Polar Express
7312,738,The Prestige
12824,739,The Princess Bride
12574,740,The Queen
7627,741,The Reaping
12889,742,The Remains of the Day
6609,743,The River Wild
15903,744,The Rules of Attraction
9202,745,The Running Man
4567,746,The Sentinel
7531,747,The Shadow
10942,748,The Shawshank Redemption
12185,749,The Shining
8690,750,The Shipping News
11617,751,The Silence of the Lambs
3633,752,The Simpsons Movie
6853,753,The Sixth Sense
708,754,The Sorcerer's Apprentice
6606,755,The Specialist
13293,756,The Spy Who Loved Me
18345,757,The Station Agent
4073,758,The Sum of All Fears
12285,759,The Tailor of Panama
7252,760,The Talented Mr. Ripley
3381,761,The Terminal
15011,762,The Terminator
7875,763,The Thing
12502,764,The Thirteenth Floor
6043,765,The Thomas Crown Affair
3166,766,The Time Machine
5981,767,The Tooth Fairy
11583,768,The Transporter
10320,769,The Untouchables
3718,770,The Village
14397,771,The Way of the Gun
12103,772,The Weather Man
12822,773,The Wedding Date
9594,774,The Wedding Planner
11167,775,The Whole Nine Yards
9259,776,The Whole Ten Yards
16477,777,The Wizard of Oz
4079,778,The X Files
8653,779,The X Files: I Want to Believe
11224,780,There's Something About Mary
15858,781,They Live
12523,782,Things We Lost in the Fire
8308,783,This Is 40
5983,784,Three Kings
15965,785,Thumbsucker
9616,786,Timecop
3523,787,Titan A.E.
173,788,Titanic
11837,789,To Die For
16647,790,To Kill a Mockingbird
1940,791,Tomorrow Never Dies
15905,792,Topaz
16202,793,Torn Curtain
1556,794,Total Recall
14389,795,Trading Places
5954,796,Traffic
6458,797,Training Day
16137,798,Trainspotting
18082,799,Transamerica
720,800,Transformers
310,801,Transformers: Revenge of the Fallen
14977,802,Tropa de Elite
13521,803,True Romance
7907,804,Twilight
2622,805,Twister
18101,806,Two Girls and a Guy
4466,807,Two Weeks Notice
4320,808,U-571
5081,809,Un long dimanche de fiançailles
4563,810,Under Siege 2: Dark Territory
11325,811,Underworld
6670,812,Underworld: Evolution
2474,813,Valkyrie
3933,814,Vanilla Sky
14937,815,Veer-Zaara
12449,816,Vicky Cristina Barcelona
15179,817,Videodrome
14314,818,Volver
12721,819,Wag the Dog
9387,820,Walk the Line
1291,821,War of the Worlds
12533,822,Wasabi
11618,823,Wayne's World
9694,824,We Own the Night
12129,825,We're No Angels
15677,826,Whale Rider
2432,827,What Lies Beneath
4091,828,What Women Want
14061,829,What's Eating Gilbert Grape
12412,830,When Harry Met Sally...
11775,831,Wild Things
363,832,Wild Wild West
16342,833,Willy Wonka & the Chocolate Factory
4099,834,World Trade Center
9377,835,Wu Ji
842,836,X-Men Origins: Wolverine
15404,837,Y tu mamá también
14310,838,You Only Live Twice
5171,839,"You, Me and Dupree"
16497,840,Young Frankenstein
2825,841,Zodiac
11587,842,eXistenZ
3818,843,xXx
15703,844,Ночной дозор
6240,845,Солярис
15181,846,ต้มยำกุ้ง
14411,847,สุริโยไท
14572,848,アキラ
18351,849,七人の侍
13818,850,三枪拍案惊奇
12238,851,千と千尋の神隠し
12540,852,卧虎藏龙
6801,853,英雄
13771,854,괴물
16390,855,올드보이
15644,856,친절한 금자씨
